Primary Site,Mutation to Gene,Percent Affected,Survival Estimate
Colon, 1.742, 0.055,1
Colon, 1.572, 0.020,1
Colon, 1.524, 0.017,1
Colon, 1.430, 0.025,1
Colon, 1.433, 0.010,1
Colon, 1.401, 0.007,1
Colon, 1.333, 0.008,1
Colon, 1.296, 0.009,0.9977116704805492
Colon, 1.295, 0.004,0.9977116704805492
Colon, 1.216, 0.004,0.9977116704805492
Colon, 1.198, 0.007,0.9977116704805492
Colon, 1.195, 0.015,0.9977116704805492
Colon, 1.195, 0.010,0.9954021527248073
Colon, 1.205, 0.008,0.9954021527248073
Colon, 1.158, 0.009,0.9954021527248073
Colon, 1.161, 0.004,0.9954021527248073
Colon, 1.182, 0.004,0.9954021527248073
Colon, 1.180, 0.008,0.9954021527248073
Colon, 1.155, 0.004,0.9954021527248073
Colon, 1.170, 0.006,0.9954021527248073
Colon, 1.153, 0.002,0.9954021527248073
Colon, 1.176, 0.003,0.9954021527248073
Colon, 1.160, 0.006,0.9930433798510518
Colon, 1.139, 0.004,0.9930433798510518
Colon, 1.165, 0.004,0.9906789908514065
Colon, 1.472, 0.005,0.9883146018517611
Colon, 1.157, 0.008,0.9883146018517611
Colon, 1.146, 0.004,0.9883146018517611
Colon, 1.125, 0.003,0.9883146018517611
Colon, 1.135, 0.023,0.9883146018517611
Colon, 1.128, 0.002,0.9883146018517611
Colon, 1.150, 0.005,0.9788115768339558
Colon, 1.139, 0.002,0.9788115768339558
Colon, 1.131, 0.004,0.9764300401506615
Colon, 1.139, 0.006,0.9740485034673672
Colon, 1.114, 0.004,0.9716669667840729
Colon, 1.129, 0.002,0.9692854301007786
Colon, 1.113, 0.002,0.9692854301007786
Colon, 1.117, 0.002,0.9668980275635846
Colon, 1.126, 0.007,0.9668980275635846
Colon, 1.094, 0.002,0.9668980275635846
Colon, 1.117, 0.003,0.9597358199520024
Colon, 1.108, 0.007,0.9573484174148084
Colon, 1.113, 0.004,0.9549610148776144
Colon, 1.114, 0.004,0.9525736123404205
Colon, 1.114, 0.003,0.9501862098032264
Colon, 1.081, 0.004,0.9477988072660325
Colon, 1.096, 0.001,0.9477988072660325
Colon, 1.106, 0.001,0.9477988072660325
Colon, 1.080, 0.004,0.9453993166147261
Colon, 1.096, 0.002,0.9429998259634197
Colon, 1.104, 0.004,0.9429998259634197
Colon, 1.108, 0.002,0.9429998259634197
Colon, 1.094, 0.016,0.9405880617026436
Colon, 1.097, 0.002,0.9381762974418676
Colon, 1.095, 0.003,0.9381762974418676
Colon, 1.097, 0.003,0.9357583172938215
Colon, 1.104, 0.002,0.9333403371457755
Colon, 1.091, 0.002,0.9333403371457755
Colon, 1.085, 0.004,0.9333403371457755
Colon, 1.092, 0.012,0.9333403371457755
Colon, 1.095, 0.002,0.9309034172054471
Colon, 1.096, 0.004,0.9309034172054471
Colon, 1.081, 0.002,0.9309034172054471
Colon, 1.082, 0.004,0.9309034172054471
Colon, 1.086, 0.002,0.9284472076613693
Colon, 1.082, 0.003,0.9284472076613693
Colon, 1.071, 0.010,0.9259844829726124
Colon, 1.095, 0.002,0.9259844829726124
Colon, 1.062, 0.001,0.9259844829726124
Colon, 1.118, 0.002,0.9259844829726124
Colon, 1.098, 0.004,0.9185766071088315
Colon, 1.063, 0.004,0.9185766071088315
Colon, 1.059, 0.002,0.9185766071088315
Colon, 1.057, 0.009,0.916093967630159
Colon, 1.059, 0.004,0.9136113281514865
Colon, 1.046, 0.006,0.9136113281514865
Colon, 1.059, 0.004,0.9136113281514865
Colon, 1.037, 0.001,0.911115122336865
Colon, 1.035, 0.004,0.911115122336865
Colon, 1.077, 0.003,0.911115122336865
Colon, 1.056, 0.006,0.9086051633221629
Colon, 1.032, 0.008,0.9086051633221629
Colon, 1.044, 0.003,0.9086051633221629
Colon, 1.020, 0.001,0.9060812600907124
Colon, 1.026, 0.004,0.9060812600907124
Colon, 1.063, 0.002,0.9060812600907124
Colon, 1.038, 0.002,0.9060812600907124
Colon, 1.053, 0.002,0.9060812600907124
Colon, 1.039, 0.002,0.9060812600907124
Colon, 1.073, 0.002,0.9035217085085353
Colon, 1.070, 0.002,0.9035217085085353
Colon, 1.103, 0.003,0.9035217085085353
Colon, 1.035, 0.002,0.9035217085085353
Colon, 1.073, 0.002,0.9035217085085353
Colon, 1.074, 0.002,0.9035217085085353
Colon, 1.063, 0.003,0.9035217085085353
Colon, 1.021, 0.002,0.9035217085085353
Colon, 1.043, 0.002,0.9035217085085353
Colon, 1.022, 0.002,0.9035217085085353
Breast, 1.442, 0.023,1
Breast, 1.359, 0.025,1
Breast, 1.130, 0.016,1
Breast, 1.103, 0.007,1
Breast, 1.121, 0.005,1
Breast, 1.083, 0.002,1
Breast, 1.125, 0.006,1
Breast, 1.112, 0.006,1
Breast, 1.094, 0.015,1
Breast, 1.113, 0.003,1
Breast, 1.072, 0.004,1
Breast, 1.107, 0.004,1
Breast, 1.102, 0.004,1
